userName;score;at;content
Bayu Gumilang 818;5;16/05/2022 06.40;Terimakasih Duo saya bisa belajar Bahasa Inggris secara Gratis sangat rekomendasi ini
Wadhannisa Nulhakim;5;16/05/2022 06.31;Aplikasinya bagus kita bisa belajar berbagi bahasa
Adelina Aquaviva;5;16/05/2022 06.29;Aplikasi duolingo sangat membantu saya untuk belajar bahasa maupun susah atau mudah kalau belajar di duolingo pasti bisa😊😁😁
Rey• Offc;5;16/05/2022 05.23;💕💕
I Made Pasek Juniartha;5;16/05/2022 05.23;Duolinggo sangat seru untuk di pelajari. dalam beberepa menit kita sudah mempelajari ribuan bahasa
Elsani Bida Kapitan;5;16/05/2022 04.57;Me encanta!!!
Ahmad Taufiqul Yahya;5;16/05/2022 04.49;Sangat bagus👍👍👍
Elissa Putry;5;16/05/2022 04.49;Aplikasinya sangat bagus
arie aruman fajari;5;16/05/2022 03.57;Bagus banget sangat membantu
Romafin Alpin;5;16/05/2022 03.34;Aplikasinya bagus
Daniswara Indurasmi Ananta;5;16/05/2022 02.55;Aku suka aplikasi ini, karena aku jadi bisa bahasa inggris dan lebih lancar dari sebelumnya. Aplikasi ini bagus banget, nggak kerasa kalo lagi belajar.
Agung Gunawan;5;16/05/2022 02.31;Saya bisa dengan mudah mempelajari bahasa Inggris 👍
Sevian Thalita;3;16/05/2022 02.28;Aplikasinya bagus dan cukup untuk kalian yang mau belajar bahasa Inggris dan lumayan dimengerti 💕
dessy oktaviani;3;16/05/2022 02.05;Bagus bagus layak sekali buat anak saya
Yosinta Norice;5;16/05/2022 02.05;This app recomended by me, if you want to improve your skill in english #GreetingsfromWestPapua
Nur Adiba Zahra;5;16/05/2022 01.46;Bagus banget asli, di ingetin juga setiap hari buat belajar terus pembelajaran nya seru juga ga ngebosenin, pokoknya top banget duolingo, saranghae 🙆🏻‍♀️💝
Okta Viani;5;16/05/2022 01.11;bagusss pelajaran yang mampu membuat kita bisa bahasa apa sajaa
Mandala Cell;5;16/05/2022 01.08;Suka banget
Puteri Humairah;5;16/05/2022 00.40;suka bangett , bkin belajar ga bosen karna seru
Ketut Bojes Frendika;5;15/05/2022 23.59;The best app for study English 🙏🤩
